日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	
EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	K	D	2014-02-15T07:00:00	139.425	139.481	139.425	
139.399	139.093	139.236	139.373	139.373	139.063	139.211	9.83	6.26	
2014-02-14T12:00:00	139.528	139.531	139.303	139.399	139.496	139.501	139.284	139.373	
5.50	11.06	2014-02-14T11:30:00	139.581	139.681	139.525	139.528	139.549	139.652	
139.496	139.496	3.45	20.64	2014-02-14T11:00:00	139.779	139.835	139.555	139.581	
139.746	139.807	139.531	139.549	24.24	37.93	2014-02-14T10:30:00	139.959	139.990	
139.749	139.779	139.930	139.965	139.723	139.746	34.24	41.52	2014-02-14T10:00:00	
139.864	139.990	139.791	139.959	139.834	139.961	139.761	139.930	55.32	
43.93	2014-02-14T09:30:00	139.985	140.003	139.848	139.864	139.956	139.973	139.822	
139.834	35.00	40.05	2014-02-14T09:00:00	139.757	140.081	139.757	139.985	139.725	
140.055	139.725	139.956	41.47	48.61	2014-02-14T08:30:00	139.831	139.860	139.752	
139.757	139.799	139.828	139.723	139.725	43.67	51.57	2014-02-14T08:00:00	139.898	
139.905	139.765	139.831	139.863	139.866	139.737	139.799	60.70	52.50	
2014-02-14T07:30:00	139.857	139.898	139.828	139.898	139.819	139.863	139.793	139.863	
50.33	50.46	2014-02-14T07:00:00	139.791	139.889	139.783	139.857	139.739	139.836	
139.739	139.819	46.48	60.39	2014-02-14T06:30:00	139.855	139.856	139.755	139.791	
139.823	139.827	139.724	139.739	54.58	73.98	2014-02-14T06:00:00	139.860	139.860	
139.799	139.855	139.837	139.837	139.769	139.823	80.11	83.69	2014-02-14T05:30:00	
139.929	139.932	139.860	139.860	139.900	139.905	139.837	139.837	87.26	
79.31	2014-02-14T05:00:00	139.893	139.930	139.840	139.929	139.866	139.900	139.812	
139.900	83.71	68.96	2014-02-14T04:30:00	139.725	139.931	139.721	139.893	139.698	
139.905	139.693	139.866	66.95	61.44	2014-02-14T04:00:00	139.712	139.750	139.696	
139.725	139.684	139.722	139.669	139.698	56.21	63.70	2014-02-14T03:30:00	139.691	
139.713	139.638	139.712	139.660	139.684	139.612	139.684	61.17	73.23	
2014-02-14T03:00:00	139.724	139.767	139.644	139.691	139.696	139.742	139.614	139.660	
73.74	82.87	2014-02-14T02:30:00	139.708	139.758	139.694	139.724	139.679	139.729	
139.665	139.696	84.78	88.47	2014-02-14T02:00:00	139.704	139.732	139.647	139.708	
139.680	139.706	139.620	139.679	90.09	90.48	2014-02-14T01:30:00	139.712	139.790	
139.660	139.704	139.686	139.762	139.634	139.680	90.54	84.01	2014-02-14T01:00:00	
139.604	139.732	139.564	139.712	139.576	139.706	139.538	139.686	90.79	
69.24	2014-02-14T00:30:00	139.496	139.678	139.443	139.604	139.467	139.654	139.414	
139.576	70.69	45.72	2014-02-14T00:00:00	139.244	139.549	139.209	139.496	139.216	
139.522	139.181	139.467	46.23	27.01	2014-02-13T23:30:00	139.142	139.352	139.129	
139.244	139.112	139.323	139.101	139.216	20.23	25.70	2014-02-13T23:00:00	139.213	
139.308	139.080	139.142	139.183	139.279	139.050	139.112	14.57	38.75	
2014-02-13T22:30:00	139.451	139.451	139.175	139.213	139.258	139.395	139.146	139.183	
42.28	52.51	2014-02-13T22:00:00	139.466	139.525	139.294	139.451	139.441	139.503	
139.258	139.258	59.40	51.55	2014-02-13T21:30:00	139.434	139.475	139.406	139.466	
139.406	139.449	139.380	139.441	55.84	43.44	2014-02-13T21:00:00	139.266	139.438	
139.266	139.434	139.241	139.411	139.241	139.406	39.41	42.02	2014-02-13T20:30:00	
139.300	139.398	139.266	139.266	139.273	139.368	139.241	139.241	35.07	
49.23	2014-02-13T20:00:00	139.311	139.369	139.223	139.300	139.282	139.341	139.198	
139.273	51.56	62.85	2014-02-13T19:30:00	139.386	139.466	139.307	139.311	139.357	
139.436	139.280	139.282	61.07	69.19	2014-02-13T19:00:00	139.520	139.563	139.283	
139.386	139.492	139.535	139.254	139.357	75.92	72.92	2014-02-13T18:30:00	139.472	
139.704	139.403	139.520	139.446	139.676	139.377	139.492	70.60	70.90	
2014-02-13T18:00:00	139.122	139.514	138.936	139.472	139.096	139.485	138.908	139.446	
72.25	74.90	2014-02-13T17:30:00	139.243	139.308	139.102	139.122	139.216	139.282	
139.082	139.096	69.85	76.31	2014-02-13T17:00:00	139.126	139.317	139.126	139.243	
139.099	139.288	139.099	139.216	82.60	79.86	2014-02-13T16:30:00	139.107	139.161	
139.046	139.126	139.077	139.135	139.018	139.099	76.48	72.92	2014-02-13T16:00:00	
139.059	139.140	138.994	139.107	139.029	139.114	138.972	139.077	80.50	
62.39	2014-02-13T15:30:00	139.149	139.155	138.984	139.059	139.123	139.125	138.954	
139.029	61.78	40.43	2014-02-13T15:00:00	138.965	139.157	138.938	139.149	138.937	
139.128	138.909	139.123	44.88	24.17	2014-02-13T14:30:00	138.948	139.042	138.904	
138.965	138.918	139.019	138.877	138.937	14.62	14.31	2014-02-13T14:00:00	139.047	
139.061	138.891	138.948	139.021	139.029	138.863	138.918	13.02	15.45	
2014-02-13T13:30:00	139.097	139.148	139.040	139.047	139.067	139.118	139.013	139.021	
15.30	23.17	2014-02-13T13:00:00	139.112	139.149	139.020	139.097	139.082	139.120	
138.994	139.067	18.04	34.26	2014-02-13T12:30:00	139.176	139.194	139.043	139.112	
139.144	139.164	139.017	139.082	36.18	45.26	2014-02-13T12:00:00	139.343	139.350	
139.126	139.176	139.317	139.323	139.100	139.144	48.54	49.04	2014-02-13T11:30:00	
139.298	139.390	139.267	139.343	139.270	139.363	139.240	139.317	51.04	
49.52	2014-02-13T11:00:00	139.213	139.327	139.210	139.298	139.186	139.298	139.184	
139.270	47.53	48.78	2014-02-13T10:30:00	139.337	139.368	139.152	139.213	139.308	
139.339	139.127	139.186	49.98	42.29	2014-02-13T10:00:00	139.365	139.411	139.317	
139.337	139.336	139.383	139.288	139.308	48.84	29.16	2014-02-13T09:30:00	139.246	
139.392	139.232	139.365	139.214	139.367	139.204	139.336	28.06	22.36	
2014-02-13T09:00:00	139.247	139.287	139.187	139.246	139.216	139.255	139.159	139.214	
10.56	31.33	2014-02-13T08:30:00	139.271	139.333	139.245	139.247	139.239	139.306	
139.213	139.216	28.46	53.79	2014-02-13T08:00:00	139.431	139.432	139.246	139.271	
139.391	139.393	139.215	139.239	54.96	69.99	2014-02-13T07:30:00	139.384	139.477	
139.372	139.431	139.349	139.439	139.341	139.391	77.94	72.73	2014-02-13T07:00:00	
139.384	139.421	139.379	139.384	139.339	139.371	139.298	139.349	77.06	
63.01	2014-02-13T06:30:00	139.355	139.403	139.340	139.384	139.325	139.369	139.312	
139.339	63.18	50.31	2014-02-13T06:00:00	139.331	139.405	139.326	139.355	139.306	
139.377	139.295	139.325	48.79	43.68	2014-02-13T05:30:00	139.328	139.366	139.285	
139.331	139.298	139.338	139.259	139.306	38.96	45.38	2014-02-13T05:00:00	139.309	
139.344	139.259	139.328	139.282	139.316	139.231	139.298	43.29	54.20	
2014-02-13T04:30:00	139.346	139.346	139.218	139.309	139.320	139.320	139.190	139.282	
53.89	60.14	2014-02-13T04:00:00	139.401	139.409	139.304	139.346	139.376	139.381	
139.276	139.320	65.42	60.33	2014-02-13T03:30:00	139.426	139.510	139.399	139.401	
139.396	139.486	139.372	139.376	61.09	55.75	2014-02-13T03:00:00	139.258	139.444	
139.216	139.426	139.231	139.416	139.191	139.396	54.46	58.08	2014-02-13T02:30:00	
139.279	139.317	139.166	139.258	139.251	139.288	139.139	139.231	51.69	
67.70	2014-02-13T02:00:00	139.312	139.347	139.261	139.279	139.285	139.318	139.232	
139.251	68.08	79.58	2014-02-13T01:30:00	139.428	139.476	139.244	139.312	139.402	
139.451	139.219	139.285	83.33	86.41	2014-02-13T01:00:00	139.322	139.504	139.290	
139.428	139.295	139.478	139.264	139.402	87.35	85.03	2014-02-13T00:30:00	139.132	
139.354	139.099	139.322	139.105	139.325	139.072	139.295	88.55	76.32	
2014-02-13T00:00:00	139.166	139.206	139.067	139.132	139.142	139.182	139.038	139.105	
79.20	58.57	2014-02-12T23:30:00	138.921	139.208	138.913	139.166	138.897	139.184	
138.884	139.142	61.20	38.48	2014-02-12T23:00:00	138.936	138.993	138.854	138.921	
138.908	138.965	138.828	138.897	35.30	23.43	2014-02-12T22:30:00	138.842	138.984	
138.837	138.936	138.815	138.956	138.811	138.908	18.93	15.47	2014-02-12T22:00:00	
138.877	138.989	138.822	138.842	138.847	138.962	138.797	138.815	16.05	
13.23	2014-02-12T21:30:00	138.963	138.964	138.687	138.877	138.933	138.941	138.665	
138.847	11.42	14.83	2014-02-12T21:00:00	138.823	139.044	138.786	138.963	138.788	
139.016	138.760	138.933	12.23	23.73	2014-02-12T20:30:00	139.643	139.643	138.812	
138.823	139.612	139.614	138.785	138.788	20.84	37.03	2014-02-12T20:00:00	139.705	
139.745	139.586	139.643	139.677	139.722	139.560	139.612	38.12	48.28	
2014-02-12T19:30:00	139.731	139.762	139.649	139.705	139.704	139.736	139.619	139.677	
52.13	52.64	2014-02-12T19:00:00	139.787	139.806	139.585	139.731	139.757	139.779	
139.558	139.704	54.59	52.56	2014-02-12T18:30:00	139.784	139.865	139.783	139.787	
139.756	139.836	139.754	139.757	51.20	47.25	2014-02-12T18:00:00	139.761	139.845	
139.753	139.784	139.735	139.816	139.727	139.756	51.90	39.94	2014-02-12T17:30:00	
139.818	139.831	139.712	139.761	139.790	139.806	139.689	139.735	38.67	
32.37	2014-02-12T17:00:00	139.742	139.864	139.653	139.818	139.713	139.838	139.628	
139.790	29.25	35.72	2014-02-12T16:30:00	139.749	139.840	139.728	139.742	139.719	
139.813	139.699	139.713	29.19	46.67	2014-02-12T16:00:00	139.831	139.910	139.721	
139.749	139.808	139.883	139.693	139.719	48.72	57.47	2014-02-12T15:30:00	139.836	
139.895	139.748	139.831	139.807	139.867	139.723	139.808	62.11	58.41	
2014-02-12T15:00:00	139.795	139.885	139.790	139.836	139.765	139.857	139.761	139.807	
61.58	51.17	2014-02-12T14:30:00	139.803	139.835	139.730	139.795	139.779	139.806	
139.706	139.765	51.54	38.86	2014-02-12T14:00:00	139.796	139.833	139.735	139.803	
139.766	139.803	139.709	139.779	40.39	30.05	2014-02-12T13:30:00	139.779	139.821	
139.740	139.796	139.748	139.792	139.713	139.766	24.66	27.48	2014-02-12T13:00:00	
139.775	139.800	139.722	139.779	139.744	139.770	139.695	139.748	25.12	
36.15	2014-02-12T12:30:00	139.805	139.854	139.762	139.775	139.775	139.825	139.732	
139.744	32.67	48.38	2014-02-12T12:00:00	139.815	139.862	139.805	139.805	139.783	
139.831	139.775	139.775	50.66	56.12	2014-02-12T11:30:00	139.888	139.904	139.762	
139.815	139.860	139.877	139.736	139.783	61.79	51.34	2014-02-12T11:00:00	139.868	
139.983	139.807	139.888	139.836	139.955	139.778	139.860	55.91	36.35	
2014-02-12T10:30:00	139.757	139.869	139.736	139.868	139.731	139.850	139.708	139.836	
36.32	21.51	2014-02-12T10:00:00	139.731	139.773	139.680	139.757	139.703	139.747	
139.653	139.731	16.83	12.23	2014-02-12T09:30:00	139.755	139.805	139.720	139.731	
139.723	139.776	139.691	139.703	11.37	11.59	2014-02-12T09:00:00	139.838	139.883	
139.697	139.755	139.806	139.853	139.668	139.723	8.49	12.12	2014-02-12T08:30:00	
139.880	139.933	139.813	139.838	139.849	139.901	139.784	139.806	14.91	
16.90	2014-02-12T08:00:00	139.980	139.992	139.875	139.880	139.938	139.960	139.847	
139.849	12.96	16.85	2014-02-12T07:30:00	139.942	140.062	139.924	139.980	139.902	
140.027	139.891	139.938	22.84	20.83	2014-02-12T07:00:00	139.975	140.020	139.934	
139.942	139.942	139.989	139.898	139.902	14.74	20.54	2014-02-12T06:30:00	139.945	
140.015	139.944	139.975	139.918	139.990	139.917	139.942	24.90	22.94	
2014-02-12T06:00:00	139.984	140.003	139.933	139.945	139.956	139.976	139.906	139.918	
21.98	19.51	2014-02-12T05:30:00	139.996	140.012	139.948	139.984	139.968	139.981	
139.922	139.956	21.93	15.14	2014-02-12T05:00:00	139.983	140.053	139.967	139.996	
139.953	140.023	139.937	139.968	14.62	12.88	2014-02-12T04:30:00	139.989	140.018	
139.960	139.983	139.960	139.991	139.933	139.953	8.86	16.43	2014-02-12T04:00:00	
139.970	140.018	139.954	139.989	139.945	139.989	139.929	139.960	15.16	
29.04	2014-02-12T03:30:00	140.030	140.044	139.961	139.970	140.000	140.015	139.931	
139.945	25.27	45.93	2014-02-12T03:00:00	140.074	140.130	140.016	140.030	140.043	
140.106	139.987	140.000	46.69	65.57	2014-02-12T02:30:00	140.085	140.197	140.056	
140.074	140.059	140.167	140.027	140.043	65.82	78.26	2014-02-12T02:00:00	140.148	
140.215	140.025	140.085	140.119	140.193	139.996	140.059	84.20	83.27	
2014-02-12T01:30:00	140.236	140.249	140.098	140.148	140.206	140.225	140.071	140.119	
84.77	76.14	2014-02-12T01:00:00	140.020	140.257	139.934	140.236	139.992	140.233	
139.905	140.206	80.84	62.58	2014-02-12T00:30:00	140.061	140.119	139.939	140.020	
140.031	140.090	139.912	139.992	62.80	42.20	2014-02-12T00:00:00	139.735	140.125	
139.700	140.061	139.708	140.101	139.671	140.031	44.09	29.15	2014-02-11T23:30:00	
139.443	139.753	139.429	139.735	139.416	139.729	139.398	139.708	19.70	
29.42	2014-02-11T23:00:00	139.686	139.720	139.292	139.443	139.658	139.698	139.266	
139.416	23.67	39.83	2014-02-11T22:30:00	139.977	140.325	139.678	139.686	139.948	
140.292	139.649	139.658	44.88	43.22	2014-02-11T22:00:00	140.039	140.090	139.958	
139.977	140.010	140.065	139.930	139.948	50.93	35.14	2014-02-11T21:30:00	139.883	
140.085	139.873	140.039	139.858	140.055	139.845	140.010	33.83	28.95	
2014-02-11T21:00:00	139.844	139.960	139.843	139.883	139.815	139.936	139.815	139.858	
20.64	38.11	2014-02-11T20:30:00	139.952	139.959	139.833	139.844	139.927	139.931	
139.805	139.815	32.39	57.87	2014-02-11T20:00:00	139.965	140.039	139.945	139.952	
139.944	140.010	139.919	139.927	61.29	76.22	2014-02-11T19:30:00	140.062	140.091	
139.958	139.965	140.034	140.067	139.930	139.944	79.95	81.73	2014-02-11T19:00:00	
140.000	140.103	140.000	140.062	139.970	140.076	139.970	140.034	87.44	
81.36	2014-02-11T18:30:00	139.929	140.006	139.861	140.000	139.905	139.980	139.833	
139.970	77.81	71.16	2014-02-11T18:00:00	139.874	139.992	139.867	139.929	139.846	
139.966	139.838	139.905	78.83	58.75	2014-02-11T17:30:00	139.988	140.013	139.811	
139.874	139.961	139.990	139.784	139.846	56.84	39.67	2014-02-11T17:00:00	139.680	
139.993	139.668	139.988	139.649	139.969	139.639	139.961	40.58	34.31	
2014-02-11T16:30:00	139.718	139.740	139.639	139.680	139.692	139.711	139.616	139.649	
21.59	41.64	2014-02-11T16:00:00	139.752	139.818	139.686	139.718	139.723	139.790	
139.659	139.692	40.77	61.46	2014-02-11T15:30:00	139.841	139.841	139.747	139.752	
139.814	139.814	139.722	139.723	62.56	76.61	2014-02-11T15:00:00	139.875	139.890	
139.767	139.841	139.845	139.860	139.747	139.814	81.05	81.21	2014-02-11T14:30:00	
139.938	139.938	139.846	139.875	139.906	139.908	139.820	139.845	86.22	
77.80	2014-02-11T14:00:00	139.688	139.948	139.688	139.938	139.659	139.919	139.659	
139.906	76.37	69.89	2014-02-11T13:30:00	139.621	139.706	139.620	139.688	139.591	
139.677	139.588	139.659	70.80	65.45	2014-02-11T13:00:00	139.651	139.678	139.613	
139.621	139.625	139.651	139.582	139.591	62.50	60.01	2014-02-11T12:30:00	139.634	
139.658	139.633	139.651	139.602	139.629	139.601	139.625	63.04	55.53	
2014-02-11T12:00:00	139.604	139.691	139.593	139.634	139.580	139.660	139.571	139.602	
54.47	51.55	2014-02-11T11:30:00	139.600	139.659	139.593	139.604	139.573	139.630	
139.562	139.580	49.07	52.38	2014-02-11T11:00:00	139.556	139.617	139.556	139.600	
139.526	139.587	139.526	139.573	51.12	53.83	2014-02-11T10:30:00	139.615	139.637	
139.515	139.556	139.584	139.607	139.489	139.526	56.95	49.30	2014-02-11T10:00:00	
139.680	139.707	139.566	139.615	139.651	139.679	139.536	139.584	53.41	
40.90	2014-02-11T09:30:00	139.428	139.809	139.411	139.680	139.396	139.779	139.380	
139.651	37.54	37.17	2014-02-11T09:00:00	139.389	139.462	139.366	139.428	139.357	
139.430	139.333	139.396	31.76	44.18	2014-02-11T08:30:00	139.502	139.504	139.370	
139.389	139.472	139.472	139.340	139.357	42.20	56.89	2014-02-11T08:00:00	139.504	
139.557	139.465	139.502	139.460	139.526	139.425	139.472	58.57	67.14	
2014-02-11T07:30:00	139.474	139.540	139.455	139.504	139.438	139.500	139.412	139.460	
69.89	74.79	2014-02-11T07:00:00	139.548	139.570	139.472	139.474	139.508	139.523	
139.435	139.438	72.97	70.39	2014-02-11T06:30:00	139.489	139.548	139.457	139.548	
139.457	139.536	139.426	139.508	81.53	63.29	2014-02-11T06:00:00	139.460	139.544	
139.426	139.489	139.435	139.513	139.397	139.457	56.67	51.32	2014-02-11T05:30:00	
139.355	139.474	139.355	139.460	139.325	139.447	139.325	139.435	51.68	
54.01	2014-02-11T05:00:00	139.425	139.438	139.334	139.355	139.400	139.413	139.304	
139.325	45.60	58.58	2014-02-11T04:30:00	139.420	139.490	139.393	139.425	139.390	
139.461	139.363	139.400	64.75	67.79	2014-02-11T04:00:00	139.402	139.431	139.378	
139.420	139.376	139.403	139.351	139.390	65.40	72.46	2014-02-11T03:30:00	139.367	
139.427	139.336	139.402	139.336	139.400	139.315	139.376	73.21	79.73	
2014-02-11T03:00:00	139.427	139.428	139.352	139.367	139.399	139.400	139.323	139.336	
78.79	81.45	2014-02-11T02:30:00	139.423	139.453	139.369	139.427	139.396	139.425	
139.341	139.399	87.18	74.53	2014-02-11T02:00:00	139.387	139.459	139.345	139.423	
139.361	139.430	139.315	139.396	78.38	61.97	2014-02-11T01:30:00	139.338	139.425	
139.272	139.387	139.312	139.396	139.245	139.361	58.04	50.91	2014-02-11T01:00:00	
139.246	139.375	139.220	139.338	139.223	139.351	139.194	139.312	49.49	
51.63	2014-02-11T00:30:00	139.346	139.349	139.181	139.246	139.317	139.320	139.157	
139.223	45.19	58.60	2014-02-11T00:00:00	139.321	139.355	139.239	139.346	139.294	
139.328	139.210	139.317	60.22	69.31	2014-02-10T23:30:00	139.367	139.389	139.292	
139.321	139.341	139.361	139.266	139.294	70.39	70.56	2014-02-10T23:00:00	139.392	
139.433	139.343	139.367	139.362	139.406	139.314	139.341	77.31	63.63	
2014-02-10T22:30:00	139.293	139.410	139.288	139.392	139.264	139.383	139.259	139.362	
64.00	48.20	2014-02-10T22:00:00	139.257	139.332	139.209	139.293	139.232	139.305	
139.185	139.264	49.60	36.15	2014-02-10T21:30:00	139.290	139.305	139.219	139.257	
139.263	139.279	139.192	139.232	31.02	25.07	2014-02-10T21:00:00	139.225	139.322	
139.207	139.290	139.197	139.293	139.177	139.263	27.84	20.64	2014-02-10T20:30:00	
139.298	139.307	139.194	139.225	139.265	139.276	139.168	139.197	16.35	
15.95	2014-02-10T20:00:00	139.260	139.323	139.224	139.298	139.230	139.295	139.197	
139.265	17.71	16.46	2014-02-10T19:30:00	139.294	139.393	139.210	139.260	139.267	
139.370	139.184	139.230	13.80	23.21	2014-02-10T19:00:00	139.264	139.332	139.235	
139.294	139.239	139.303	139.206	139.267	17.87	32.48	2014-02-10T18:30:00	139.327	
139.329	139.230	139.264	139.298	139.301	139.203	139.239	37.97	42.18	
2014-02-10T18:00:00	139.505	139.576	139.307	139.327	139.481	139.550	139.283	139.298	
41.59	40.03	2014-02-10T17:30:00	139.323	139.545	139.315	139.505	139.293	139.520	
139.286	139.481	46.98	38.45	2014-02-10T17:00:00	139.403	139.405	139.243	139.323	
139.374	139.376	139.214	139.293	31.52	37.17	2014-02-10T16:30:00	139.430	139.459	
139.256	139.403	139.398	139.441	139.227	139.374	36.85	44.61	2014-02-10T16:00:00	
139.526	139.583	139.339	139.430	139.500	139.553	139.308	139.398	43.15	
53.15	2014-02-10T15:30:00	139.559	139.577	139.510	139.526	139.531	139.546	139.481	
139.500	53.83	62.08	2014-02-10T15:00:00	139.535	139.618	139.535	139.559	139.513	
139.586	139.506	139.531	62.48	66.26	2014-02-10T14:30:00	139.534	139.597	139.475	
139.535	139.504	139.571	139.449	139.513	69.94	65.59	2014-02-10T14:00:00	139.557	
139.575	139.489	139.534	139.533	139.551	139.461	139.504	66.36	55.69	
2014-02-10T13:30:00	139.525	139.585	139.504	139.557	139.496	139.560	139.478	139.533	
60.49	46.63	2014-02-10T13:00:00	139.525	139.551	139.496	139.525	139.496	139.525	
139.465	139.496	40.22	37.01	2014-02-10T12:30:00	139.472	139.549	139.436	139.525	
139.442	139.522	139.408	139.496	39.20	36.02	2014-02-10T12:00:00	139.544	139.576	
139.458	139.472	139.515	139.548	139.427	139.442	31.63	30.05	2014-02-10T11:30:00	
139.478	139.547	139.457	139.544	139.449	139.517	139.429	139.515	37.24	
25.81	2014-02-10T11:00:00	139.611	139.611	139.423	139.478	139.584	139.584	139.394	
139.449	21.27	19.92	2014-02-10T10:30:00	139.499	139.647	139.484	139.611	139.468	
139.618	139.455	139.584	18.91	23.33	2014-02-10T10:00:00	139.590	139.634	139.485	
139.499	139.562	139.603	139.459	139.468	19.58	34.14	2014-02-10T09:30:00	139.650	
139.663	139.567	139.590	139.620	139.633	139.547	139.562	31.51	50.62	
2014-02-10T09:00:00	139.621	139.666	139.544	139.650	139.594	139.635	139.519	139.620	
51.32	65.03	2014-02-10T08:30:00	139.705	139.817	139.620	139.621	139.674	139.792	
139.591	139.594	69.02	73.71	2014-02-10T08:00:00	139.788	139.802	139.702	139.705	
139.754	139.779	139.671	139.674	74.74	71.84	2014-02-10T07:30:00	139.560	139.811	
139.560	139.788	139.521	139.783	139.521	139.754	77.36	66.55	2014-02-10T07:00:00	
139.647	139.679	139.543	139.560	139.608	139.608	139.504	139.521	63.42	
58.15	2014-02-10T06:30:00	139.524	139.700	139.524	139.647	139.474	139.662	139.470	
139.608	58.88	59.01	2014-02-10T06:00:00	139.550	139.564	139.415	139.524	139.476	
139.524	139.344	139.474	52.14	62.07	2014-02-10T05:30:00	139.564	139.582	139.499	
139.550	139.519	139.533	139.455	139.476	66.01	67.37	2014-02-10T05:00:00	139.644	
139.644	139.553	139.564	139.581	139.596	139.495	139.519	68.06	68.18	
2014-02-10T04:30:00	139.542	139.654	139.533	139.644	139.468	139.595	139.459	139.581	
68.04	72.21	2014-02-10T04:00:00	139.608	139.621	139.461	139.542	139.503	139.562	
139.389	139.468	68.44	77.05	2014-02-08T06:30:00	139.588	139.625	139.560	139.608	
139.562	139.595	139.503	139.503	80.16	79.80	2014-02-08T06:00:00	139.493	139.603	
139.441	139.588	139.466	139.575	139.410	139.562	82.56	76.15	2014-02-08T05:30:00	
139.443	139.545	139.437	139.493	139.414	139.516	139.410	139.466	76.66	
74.80	2014-02-08T05:00:00	139.443	139.467	139.381	139.443	139.413	139.441	139.350	
139.414	69.21	75.01	2014-02-08T04:30:00	139.383	139.517	139.377	139.443	139.355	
139.490	139.348	139.413	78.54	81.00	2014-02-08T04:00:00	139.403	139.528	139.370	
