日時	"AUD/CAD(始値, 買い)"	"AUD/CAD(高値, 買い)"	"AUD/CAD(安値, 買い)"	"AUD/CAD(終値, 買い)"	"AUD/CAD(始値, 売り)*"	"AUD/CAD(高値, 売り)*"	"AUD/CAD(安値, 売り)*"	"AUD/CAD(終値, 売り)*"
2013/07/10 17:00:00	0.96639	0.96962	0.95636	0.96094	0.96625	0.96956	0.95616	0.95928
2013/07/09 17:00:00	0.96437	0.96886	0.96052	0.96639	0.96423	0.96881	0.96031	0.96625
2013/07/08 17:00:00	0.95846	0.96611	0.95648	0.96437	0.95784	0.96599	0.95636	0.96423
2013/07/05 17:00:00	0.96242	0.96744	0.95726	0.95930	0.96086	0.96731	0.95707	0.95806
2013/07/04 17:00:00	0.95537	0.96520	0.95396	0.96242	0.95394	0.96513	0.95329	0.96086
2013/07/03 17:00:00	0.96494	0.96776	0.95104	0.95537	0.96482	0.96770	0.95081	0.95394
2013/07/02 17:00:00	0.96965	0.97146	0.96236	0.96494	0.96935	0.97111	0.96232	0.96482
2013/07/01 17:00:00	0.96046	0.97155	0.95966	0.96965	0.95896	0.97147	0.95896	0.96935
2013/06/28 17:00:00	0.97193	0.97314	0.95916	0.96127	0.97169	0.97301	0.95906	0.96037
2013/06/27 17:00:00	0.97221	0.97634	0.97001	0.97193	0.97200	0.97601	0.96995	0.97169
2013/06/26 17:00:00	0.97323	0.97849	0.97042	0.97221	0.97305	0.97850	0.97025	0.97200
2013/06/25 17:00:00	0.97165	0.97515	0.96794	0.97323	0.97140	0.97515	0.96778	0.97305
2013/06/24 17:00:00	0.96662	0.97594	0.96342	0.97165	0.96509	0.97588	0.96333	0.97140
2013/06/21 17:00:00	0.95599	0.96737	0.95387	0.96505	0.95446	0.96730	0.95372	0.96359
2013/06/20 17:00:00	0.95584	0.95694	0.94831	0.95599	0.95551	0.95687	0.94827	0.95446
2013/06/19 17:00:00	0.96909	0.97350	0.95314	0.95584	0.96871	0.97316	0.95297	0.95551
2013/06/18 17:00:00	0.97376	0.97506	0.96410	0.96909	0.97228	0.97493	0.96404	0.96871
2013/06/17 17:00:00	0.97449	0.97863	0.96999	0.97376	0.97348	0.97866	0.96991	0.97228
2013/06/14 17:00:00	0.97962	0.98221	0.97334	0.97449	0.97897	0.98181	0.97306	0.97348
2013/06/13 17:00:00	0.96870	0.98113	0.96341	0.97962	0.96810	0.98103	0.96321	0.97897
2013/06/12 17:00:00	0.96162	0.97320	0.96099	0.96870	0.96151	0.97312	0.96045	0.96810
2013/06/11 17:00:00	0.96470	0.96586	0.95477	0.96162	0.96455	0.96552	0.95458	0.96151
2013/06/10 17:00:00	0.96170	0.96601	0.95977	0.96470	0.96086	0.96593	0.95917	0.96455
2013/06/07 17:00:00	0.98568	0.98579	0.96404	0.96845	0.98529	0.98529	0.96388	0.96779
2013/06/06 17:00:00	0.98717	0.98789	0.97739	0.98568	0.98687	0.98742	0.97733	0.98529
2013/06/05 17:00:00	0.99781	0.99932	0.98453	0.98717	0.99770	0.99870	0.98445	0.98687
2013/06/04 17:00:00	1.00425	1.00484	0.99586	0.99781	1.00349	1.00462	0.99576	0.99770
2013/06/03 17:00:00	0.99865	1.00651	0.99474	1.00425	0.99815	1.00651	0.99456	1.00349
2013/05/31 17:00:00	0.99509	0.99751	0.98864	0.99267	0.99475	0.99746	0.98858	0.99207
2013/05/30 17:00:00	0.99744	1.00284	0.99381	0.99509	0.99699	1.00276	0.99334	0.99475
2013/05/29 17:00:00	1.00007	1.00198	0.99290	0.99744	0.99975	1.00189	0.99283	0.99699
2013/05/28 17:00:00	0.99601	1.00249	0.99434	1.00007	0.99569	1.00246	0.99429	0.99975
2013/05/27 17:00:00	0.99423	0.99796	0.99329	0.99601	0.99362	0.99790	0.99316	0.99569
2013/05/24 17:00:00	1.00444	1.00597	0.99514	0.99588	1.00421	1.00484	0.99502	0.99512
2013/05/23 17:00:00	1.00574	1.00892	0.99704	1.00444	1.00552	1.00888	0.99700	1.00421
2013/05/22 17:00:00	1.00704	1.00821	0.99998	1.00574	1.00693	1.00813	0.99994	1.00552
2013/05/21 17:00:00	1.00448	1.00873	1.00183	1.00704	1.00426	1.00870	1.00163	1.00693
2013/05/20 17:00:00	1.00366	1.00744	1.00074	1.00448	1.00277	1.00741	1.00061	1.00426
2013/05/17 17:00:00	0.99966	1.00454	0.99531	1.00089	0.99954	1.00440	0.99523	1.00043
2013/05/16 17:00:00	1.00602	1.00668	0.99870	0.99966	1.00579	1.00661	0.99869	0.99954
2013/05/15 17:00:00	1.00689	1.01109	1.00412	1.00602	1.00673	1.01105	1.00406	1.00579
2013/05/14 17:00:00	1.00596	1.01039	1.00368	1.00689	1.00574	1.01034	1.00359	1.00673
2013/05/13 17:00:00	1.01292	1.01341	1.00465	1.00596	1.01149	1.01311	1.00456	1.00574
2013/05/10 17:00:00	1.01614	1.01701	1.00777	1.01314	1.01587	1.01696	1.00766	1.01244
2013/05/09 17:00:00	1.02045	1.02770	1.01294	1.01614	1.02011	1.02762	1.01283	1.01587
2013/05/08 17:00:00	1.02300	1.02557	1.01941	1.02045	1.02270	1.02551	1.01934	1.02011
2013/05/07 17:00:00	1.03256	1.03344	1.02052	1.02300	1.03233	1.03266	1.02045	1.02270
2013/05/06 17:00:00	1.04027	1.04027	1.03139	1.03256	1.03979	1.03979	1.03132	1.03233
2013/05/03 17:00:00	1.03581	1.04159	1.03538	1.04027	1.03553	1.04155	1.03452	1.03979
2013/05/02 17:00:00	1.03636	1.03733	1.03067	1.03581	1.03618	1.03662	1.03058	1.03553
2013/05/01 17:00:00	1.04482	1.04550	1.03513	1.03636	1.04456	1.04506	1.03503	1.03618
2013/04/30 17:00:00	1.04724	1.04897	1.04313	1.04482	1.04701	1.04891	1.04316	1.04456
2013/04/29 17:00:00	1.04604	1.05005	1.04433	1.04724	1.04542	1.05007	1.04428	1.04701
2013/04/26 17:00:00	1.04995	1.05283	1.04444	1.04628	1.04988	1.05278	1.04438	1.04575
2013/04/25 17:00:00	1.05472	1.05655	1.04986	1.04995	1.05451	1.05651	1.04973	1.04988
2013/04/24 17:00:00	1.05295	1.05603	1.05087	1.05472	1.05281	1.05604	1.05081	1.05451
2013/04/23 17:00:00	1.05400	1.05469	1.04979	1.05295	1.05385	1.05441	1.04970	1.05281
2013/04/22 17:00:00	1.05469	1.05645	1.05204	1.05400	1.05406	1.05641	1.05199	1.05385
2013/04/19 17:00:00	1.05702	1.06057	1.05463	1.05540	1.05674	1.06056	1.05453	1.05488
2013/04/18 17:00:00	1.05709	1.05927	1.05523	1.05702	1.05689	1.05921	1.05517	1.05674
2013/04/17 17:00:00	1.06138	1.06263	1.05618	1.05709	1.06118	1.06257	1.05605	1.05689
2013/04/16 17:00:00	1.05710	1.06191	1.05539	1.06138	1.05717	1.06186	1.05486	1.06118
2013/04/15 17:00:00	1.06623	1.06721	1.05557	1.05710	1.06540	1.06716	1.05544	1.05717
2013/04/12 17:00:00	1.06569	1.06724	1.06279	1.06529	1.06539	1.06720	1.06274	1.06429
2013/04/11 17:00:00	1.06954	1.07159	1.06525	1.06569	1.06932	1.07156	1.06515	1.06539
2013/04/10 17:00:00	1.06621	1.07093	1.06478	1.06954	1.06595	1.07086	1.06459	1.06932
2013/04/09 17:00:00	1.05903	1.06696	1.05807	1.06621	1.05881	1.06690	1.05791	1.06595
2013/04/08 17:00:00	1.05628	1.06243	1.05249	1.05903	1.05509	1.06238	1.05247	1.05881
2013/04/05 17:00:00	1.05696	1.06491	1.05370	1.05724	1.05679	1.06491	1.05363	1.05674
2013/04/04 17:00:00	1.06144	1.06405	1.05349	1.05696	1.06133	1.06376	1.05348	1.05679
2013/04/03 17:00:00	1.06037	1.06432	1.06012	1.06144	1.06023	1.06426	1.05976	1.06133
2013/04/02 17:00:00	1.05963	1.06379	1.05927	1.06037	1.05945	1.06381	1.05864	1.06023
2013/04/01 17:00:00	1.06094	1.06095	1.05714	1.05963	1.06021	1.06062	1.05705	1.05945
2013/03/29 17:00:00	1.05811	1.06129	1.05725	1.06072	1.05781	1.06023	1.05712	1.06012
2013/03/28 17:00:00	1.06151	1.06223	1.05669	1.05811	1.06139	1.06208	1.05655	1.05781
2013/03/27 17:00:00	1.06545	1.06607	1.05975	1.06151	1.06542	1.06568	1.05971	1.06139
2013/03/26 17:00:00	1.06892	1.06994	1.06464	1.06545	1.06875	1.06988	1.06459	1.06542
2013/03/25 17:00:00	1.06892	1.07069	1.06674	1.06892	1.06818	1.07065	1.06663	1.06875
2013/03/22 17:00:00	1.07023	1.07180	1.06694	1.06904	1.06997	1.07176	1.06690	1.06837
2013/03/21 17:00:00	1.06489	1.07124	1.06256	1.07023	1.06470	1.07112	1.06250	1.06997
2013/03/20 17:00:00	1.06519	1.06701	1.06310	1.06489	1.06495	1.06704	1.06306	1.06470
2013/03/19 17:00:00	1.06273	1.06569	1.05998	1.06519	1.06243	1.06561	1.05995	1.06495
2013/03/18 17:00:00	1.05899	1.06373	1.05802	1.06273	1.05780	1.06367	1.05716	1.06243
2013/03/15 17:00:00	1.06161	1.06235	1.05635	1.06140	1.06135	1.06204	1.05629	1.06113
2013/03/14 17:00:00	1.05845	1.06682	1.05795	1.06161	1.05819	1.06682	1.05772	1.06135
2013/03/13 17:00:00	1.05897	1.06018	1.05686	1.05845	1.05872	1.06016	1.05682	1.05819
2013/03/12 17:00:00	1.05482	1.06068	1.05394	1.05897	1.05461	1.06062	1.05386	1.05872
2013/03/11 17:00:00	1.05004	1.05509	1.04969	1.05482	1.04980	1.05493	1.04963	1.05461
2013/03/08 17:00:00	1.05701	1.05891	1.04843	1.05268	1.05686	1.05883	1.04825	1.05187
2013/03/07 17:00:00	1.05659	1.05906	1.05561	1.05701	1.05641	1.05901	1.05522	1.05686
2013/03/06 17:00:00	1.05357	1.06111	1.05331	1.05659	1.05337	1.06107	1.05262	1.05641
2013/03/05 17:00:00	1.04728	1.05449	1.04689	1.05357	1.04713	1.05440	1.04657	1.05337
2013/03/04 17:00:00	1.04804	1.04864	1.04260	1.04728	1.04767	1.04851	1.04256	1.04713
2013/03/01 17:00:00	1.05294	1.05482	1.04693	1.04804	1.05273	1.05480	1.04691	1.04767
2013/02/28 17:00:00	1.04734	1.05481	1.04421	1.05294	1.04712	1.05481	1.04382	1.05273
2013/02/27 17:00:00	1.04934	1.05100	1.04487	1.04734	1.04919	1.04977	1.04480	1.04712
2013/02/26 17:00:00	1.05270	1.05505	1.04908	1.04934	1.05231	1.05490	1.04894	1.04919
2013/02/25 17:00:00	1.05379	1.05796	1.05079	1.05270	1.05365	1.05790	1.05069	1.05231
2013/02/22 17:00:00	1.04395	1.05769	1.04282	1.05309	1.04368	1.05764	1.04218	1.05267
2013/02/21 17:00:00	1.04281	1.04593	1.04145	1.04395	1.04259	1.04591	1.04138	1.04368
2013/02/20 17:00:00	1.04789	1.04889	1.04173	1.04281	1.04754	1.04886	1.04165	1.04259
2013/02/19 17:00:00	1.04174	1.04964	1.04104	1.04789	1.04149	1.04958	1.04055	1.04754
2013/02/18 17:00:00	1.03664	1.04201	1.03523	1.04174	1.03653	1.04194	1.03516	1.04149
2013/02/15 17:00:00	1.03736	1.03997	1.03526	1.03759	1.03706	1.03995	1.03513	1.03686
2013/02/14 17:00:00	1.03769	1.03955	1.03440	1.03736	1.03744	1.03849	1.03438	1.03706
2013/02/13 17:00:00	1.03310	1.03815	1.03257	1.03769	1.03304	1.03806	1.03227	1.03744
2013/02/12 17:00:00	1.03056	1.03490	1.02990	1.03310	1.03025	1.03485	1.02904	1.03304
2013/02/11 17:00:00	1.03456	1.03642	1.02993	1.03056	1.03375	1.03638	1.02984	1.03025
2013/02/08 17:00:00	1.02624	1.03688	1.02414	1.03533	1.02597	1.03661	1.02407	1.03438
2013/02/07 17:00:00	1.02767	1.02985	1.02551	1.02624	1.02725	1.02983	1.02537	1.02597
2013/02/06 17:00:00	1.03454	1.03550	1.02636	1.02767	1.03434	1.03529	1.02630	1.02725
