日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2012/04/17 17:00:00	1.26929	1.27210	1.26016	1.26386	1.26853	1.27185	1.26006	1.26292
2012/04/16 17:00:00	1.26167	1.26937	1.25723	1.26929	1.25998	1.26911	1.25718	1.26853
2012/04/13 17:00:00	1.26402	1.26879	1.25919	1.26167	1.26283	1.26875	1.25904	1.25998
2012/04/12 17:00:00	1.27302	1.27323	1.26131	1.26402	1.27267	1.27296	1.26121	1.26283
2012/04/11 17:00:00	1.27644	1.27847	1.27085	1.27302	1.27635	1.27834	1.27082	1.27267
2012/04/10 17:00:00	1.27103	1.27670	1.26911	1.27644	1.27077	1.27648	1.26902	1.27635
2012/04/09 17:00:00	1.27166	1.27302	1.26672	1.27103	1.26970	1.27278	1.26659	1.27077
2012/04/06 17:00:00	1.26893	1.27468	1.26515	1.27166	1.26779	1.27440	1.26428	1.26970
2012/04/05 17:00:00	1.28003	1.28163	1.26612	1.26893	1.27935	1.28149	1.26606	1.26779
2012/04/04 17:00:00	1.28115	1.28709	1.27717	1.28003	1.28049	1.28704	1.27711	1.27935
2012/04/03 17:00:00	1.27877	1.28790	1.27473	1.28115	1.27809	1.28786	1.27390	1.28049
2012/04/02 17:00:00	1.29012	1.29012	1.27621	1.27877	1.28833	1.28833	1.27612	1.27809
2012/03/30 17:00:00	1.28153	1.29018	1.28061	1.29012	1.28090	1.28924	1.28012	1.28833
2012/03/29 17:00:00	1.28227	1.28721	1.28018	1.28153	1.28154	1.28712	1.28005	1.28090
2012/03/28 17:00:00	1.27280	1.28436	1.27280	1.28227	1.27225	1.28430	1.27225	1.28154
2012/03/27 17:00:00	1.26851	1.27410	1.26609	1.27280	1.26775	1.27401	1.26601	1.27225
2012/03/26 17:00:00	1.26837	1.27045	1.26242	1.26851	1.26684	1.27037	1.26232	1.26775
2012/03/23 17:00:00	1.27116	1.27572	1.26555	1.26837	1.27033	1.27567	1.26541	1.26684
2012/03/22 17:00:00	1.26401	1.27416	1.26329	1.27116	1.26334	1.27405	1.26292	1.27033
2012/03/21 17:00:00	1.26229	1.26888	1.26110	1.26401	1.26132	1.26878	1.26095	1.26334
2012/03/20 17:00:00	1.24825	1.26337	1.24641	1.26229	1.24779	1.26333	1.24630	1.26132
2012/03/19 17:00:00	1.24494	1.24970	1.24054	1.24825	1.24329	1.24962	1.24045	1.24779
2012/03/16 17:00:00	1.24292	1.24575	1.23927	1.24494	1.24258	1.24569	1.23923	1.24329
2012/03/15 17:00:00	1.24724	1.24879	1.24012	1.24292	1.24647	1.24871	1.24006	1.24258
2012/03/14 17:00:00	1.24008	1.24884	1.23882	1.24724	1.23960	1.24876	1.23871	1.24647
2012/03/13 17:00:00	1.25115	1.25210	1.23982	1.24008	1.25067	1.25203	1.23946	1.23960
2012/03/12 17:00:00	1.24165	1.25470	1.24067	1.25115	1.24000	1.25464	1.23993	1.25067
2012/03/09 17:00:00	1.24725	1.24913	1.23501	1.24165	1.24705	1.24906	1.23495	1.24000
2012/03/08 17:00:00	1.24279	1.25207	1.23918	1.24725	1.24208	1.25202	1.23912	1.24705
2012/03/07 17:00:00	1.24286	1.24863	1.24117	1.24279	1.24213	1.24857	1.24108	1.24208
2012/03/06 17:00:00	1.23900	1.24553	1.23707	1.24286	1.23823	1.24549	1.23699	1.24213
2012/03/05 17:00:00	1.23103	1.24094	1.22829	1.23900	1.22926	1.24088	1.22736	1.23823
2012/03/02 17:00:00	1.23204	1.23467	1.22621	1.23103	1.23101	1.23457	1.22616	1.22926
2012/03/01 17:00:00	1.24183	1.24277	1.23132	1.23204	1.24138	1.24266	1.23099	1.23101
2012/02/29 17:00:00	1.25037	1.25079	1.23716	1.24183	1.24953	1.25009	1.23707	1.24138
2012/02/28 17:00:00	1.24584	1.25254	1.24520	1.25037	1.24506	1.25247	1.24481	1.24953
2012/02/27 17:00:00	1.25833	1.26189	1.24286	1.24584	1.25660	1.26188	1.24275	1.24506
2012/02/24 17:00:00	1.24760	1.25937	1.24395	1.25833	1.24747	1.25923	1.24391	1.25660
2012/02/23 17:00:00	1.24577	1.25009	1.24126	1.24760	1.24496	1.24997	1.24121	1.24747
2012/02/22 17:00:00	1.24159	1.24739	1.23927	1.24577	1.24142	1.24734	1.23918	1.24496
2012/02/21 17:00:00	1.23160	1.24214	1.23079	1.24159	1.23080	1.24206	1.23042	1.24142
2012/02/20 17:00:00	1.22912	1.23324	1.22290	1.23160	1.22736	1.23320	1.22271	1.23080
2012/02/17 17:00:00	1.22113	1.23050	1.21644	1.22912	1.22061	1.23040	1.21642	1.22736
2012/02/16 17:00:00	1.22129	1.22282	1.21498	1.22113	1.22120	1.22276	1.21492	1.22061
2012/02/15 17:00:00	1.22857	1.22924	1.21775	1.22129	1.22762	1.22912	1.21765	1.22120
2012/02/14 17:00:00	1.22887	1.23347	1.22734	1.22857	1.22842	1.23324	1.22732	1.22762
2012/02/13 17:00:00	1.23685	1.23799	1.22809	1.22887	1.23633	1.23760	1.22801	1.22842
2012/02/10 17:00:00	1.23168	1.24203	1.23134	1.23685	1.23145	1.24202	1.23115	1.23633
2012/02/09 17:00:00	1.22852	1.23239	1.22663	1.23168	1.22766	1.23237	1.22650	1.23145
2012/02/08 17:00:00	1.22715	1.23026	1.22321	1.22852	1.22651	1.23018	1.22310	1.22766
