日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/18 23:00:00	3.50626	3.50626	3.50600	3.50600	3.49685	3.49687	3.49682	3.49682
2016/12/18 22:45:00	3.50626	3.50626	3.50626	3.50626	3.49687	3.49687	3.49685	3.49685
2016/12/18 22:30:00	3.50624	3.50626	3.50624	3.50626	3.49696	3.49696	3.49687	3.49687
2016/12/18 22:15:00	3.50624	3.50624	3.50624	3.50624	3.49697	3.49698	3.49696	3.49696
2016/12/18 22:00:00	3.50486	3.50629	3.50485	3.50624	3.49556	3.49697	3.49556	3.49697
2016/12/18 21:45:00	3.50426	3.50487	3.50426	3.50486	3.49515	3.49564	3.49510	3.49556
2016/12/18 21:30:00	3.50425	3.50431	3.50425	3.50426	3.49474	3.49515	3.49474	3.49515
2016/12/18 21:15:00	3.50745	3.50822	3.50422	3.50425	3.49495	3.50147	3.49399	3.49474
2016/12/18 21:00:00	3.50834	3.50866	3.50741	3.50745	3.49680	3.49692	3.49318	3.49495
2016/12/18 20:45:00	3.50826	3.50840	3.50821	3.50834	3.49576	3.49824	3.49389	3.49680
2016/12/18 20:30:00	3.50846	3.50889	3.50816	3.50826	3.49892	3.49917	3.49440	3.49576
2016/12/18 20:15:00	3.50920	3.50924	3.50816	3.50846	3.50067	3.50072	3.49509	3.49892
2016/12/18 20:00:00	3.50933	3.50933	3.50849	3.50920	3.50518	3.50518	3.49568	3.50067
2016/12/18 19:45:00	3.50894	3.50933	3.50324	3.50933	3.49256	3.50518	3.49079	3.50518
2016/12/18 19:30:00	3.50764	3.50910	3.50096	3.50894	3.49224	3.50124	3.49082	3.49256
2016/12/18 19:15:00	3.50637	3.50859	3.50636	3.50764	3.49139	3.49243	3.49079	3.49224
2016/12/18 19:00:00	3.50707	3.50856	3.50556	3.50637	3.49103	3.49227	3.49070	3.49139
2016/12/18 18:45:00	3.50520	3.50809	3.50520	3.50707	3.49163	3.49167	3.49081	3.49103
2016/12/18 18:30:00	3.50636	3.50780	3.50518	3.50520	3.49121	3.49166	3.49079	3.49163
2016/12/18 18:15:00	3.50648	3.50762	3.50555	3.50636	3.49133	3.49166	3.49083	3.49121
2016/12/18 18:00:00	3.51359	3.51359	3.50555	3.50648	3.49799	3.49799	3.49083	3.49133
2016/12/16 16:45:00	3.50833	3.51359	3.50515	3.51359	3.50187	3.50260	3.49785	3.49799
2016/12/16 16:30:00	3.50425	3.50944	3.50425	3.50833	3.50185	3.50310	3.50070	3.50187
2016/12/16 16:15:00	3.50553	3.50580	3.50405	3.50425	3.50250	3.50332	3.50180	3.50185
2016/12/16 16:00:00	3.50957	3.51000	3.50380	3.50553	3.50359	3.50396	3.50173	3.50250
2016/12/16 15:45:00	3.50978	3.51040	3.50917	3.50957	3.50409	3.50765	3.50340	3.50359
2016/12/16 15:30:00	3.50926	3.51072	3.50909	3.50978	3.50393	3.50819	3.50310	3.50409
2016/12/16 15:15:00	3.50925	3.50932	3.50420	3.50926	3.50343	3.50393	3.50243	3.50393
2016/12/16 15:00:00	3.50416	3.50990	3.50355	3.50925	3.49572	3.50742	3.49523	3.50343
2016/12/16 14:45:00	3.50140	3.50730	3.50080	3.50416	3.49471	3.50088	3.49430	3.49572
2016/12/16 14:30:00	3.50221	3.50234	3.49809	3.50140	3.49900	3.49938	3.49260	3.49471
2016/12/16 14:15:00	3.50549	3.50569	3.49640	3.50221	3.50231	3.50376	3.49201	3.49900
2016/12/16 14:00:00	3.50662	3.50682	3.50506	3.50549	3.50438	3.50438	3.50208	3.50231
2016/12/16 13:45:00	3.50569	3.50973	3.50550	3.50662	3.50201	3.50688	3.50047	3.50438
2016/12/16 13:30:00	3.50324	3.50675	3.50103	3.50569	3.50075	3.50217	3.49856	3.50201
2016/12/16 13:15:00	3.50018	3.50342	3.50013	3.50324	3.49926	3.50093	3.49905	3.50075
