日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/05 00:15:00	1.41673	1.41843	1.41662	1.41838	1.41663	1.41838	1.41654	1.41828
2016/12/05 00:00:00	1.41615	1.41743	1.41588	1.41673	1.41604	1.41734	1.41579	1.41663
2016/12/04 23:45:00	1.41554	1.41617	1.41547	1.41615	1.41547	1.41614	1.41543	1.41604
2016/12/04 23:30:00	1.41528	1.41614	1.41477	1.41554	1.41513	1.41602	1.41467	1.41547
2016/12/04 23:15:00	1.41642	1.41647	1.41509	1.41528	1.41637	1.41637	1.41498	1.41513
2016/12/04 23:00:00	1.41658	1.41713	1.41611	1.41642	1.41647	1.41704	1.41601	1.41637
2016/12/04 22:45:00	1.41641	1.41706	1.41605	1.41658	1.41630	1.41703	1.41599	1.41647
2016/12/04 22:30:00	1.41723	1.41782	1.41600	1.41641	1.41711	1.41771	1.41597	1.41630
2016/12/04 22:15:00	1.41880	1.41900	1.41679	1.41723	1.41870	1.41895	1.41664	1.41711
2016/12/04 22:00:00	1.42117	1.42118	1.41868	1.41880	1.42106	1.42108	1.41858	1.41870
2016/12/04 21:45:00	1.42069	1.42135	1.42036	1.42117	1.42057	1.42125	1.42022	1.42106
2016/12/04 21:30:00	1.42137	1.42183	1.42052	1.42069	1.42124	1.42172	1.42042	1.42057
2016/12/04 21:15:00	1.42156	1.42180	1.42058	1.42137	1.42148	1.42170	1.42047	1.42124
2016/12/04 21:00:00	1.42241	1.42267	1.42118	1.42156	1.42231	1.42256	1.42112	1.42148
2016/12/04 20:45:00	1.42296	1.42362	1.42175	1.42241	1.42279	1.42355	1.42167	1.42231
2016/12/04 20:30:00	1.42203	1.42375	1.42203	1.42296	1.42194	1.42365	1.42193	1.42279
2016/12/04 20:15:00	1.42194	1.42232	1.42116	1.42203	1.42180	1.42215	1.42098	1.42194
2016/12/04 20:00:00	1.42202	1.42251	1.42043	1.42194	1.42184	1.42236	1.42027	1.42180
2016/12/04 19:45:00	1.42200	1.42254	1.42108	1.42202	1.42180	1.42240	1.42090	1.42184
2016/12/04 19:30:00	1.42332	1.42408	1.42195	1.42200	1.42300	1.42393	1.42177	1.42180
2016/12/04 19:15:00	1.42416	1.42453	1.42264	1.42332	1.42393	1.42432	1.42246	1.42300
2016/12/04 19:00:00	1.42075	1.42481	1.42064	1.42416	1.42042	1.42463	1.42039	1.42393
2016/12/04 18:45:00	1.41822	1.42289	1.41793	1.42075	1.41805	1.42264	1.41769	1.42042
2016/12/04 18:30:00	1.42007	1.42263	1.41713	1.41822	1.41956	1.42174	1.41692	1.41805
2016/12/04 18:15:00	1.41875	1.42097	1.41647	1.42007	1.41841	1.42033	1.41584	1.41956
2016/12/04 18:00:00	1.42123	1.42772	1.41773	1.41875	1.42069	1.42650	1.41724	1.41841
2016/12/04 17:45:00	1.42030	1.42216	1.41838	1.42123	1.41970	1.42153	1.41785	1.42069
2016/12/04 17:30:00	1.42231	1.42294	1.42000	1.42030	1.42179	1.42243	1.41940	1.41970
2016/12/04 17:15:00	1.42223	1.42313	1.42051	1.42231	1.42148	1.42237	1.41995	1.42179
2016/12/04 17:00:00	1.43194	1.43194	1.41993	1.42223	1.43072	1.43072	1.41892	1.42148
2016/12/02 16:45:00	1.43064	1.43212	1.43008	1.43149	1.43033	1.43106	1.42859	1.42962
2016/12/02 16:30:00	1.43131	1.43154	1.43057	1.43064	1.43107	1.43133	1.43027	1.43033
2016/12/02 16:15:00	1.43187	1.43200	1.43086	1.43131	1.43165	1.43180	1.43054	1.43107
2016/12/02 16:00:00	1.43131	1.43199	1.43098	1.43187	1.43119	1.43176	1.43077	1.43165
2016/12/02 15:45:00	1.43193	1.43214	1.43095	1.43131	1.43178	1.43202	1.43081	1.43119
2016/12/02 15:30:00	1.43232	1.43232	1.43166	1.43193	1.43218	1.43219	1.43151	1.43178
2016/12/02 15:15:00	1.43208	1.43234	1.43194	1.43232	1.43193	1.43222	1.43181	1.43218
2016/12/02 15:00:00	1.43178	1.43209	1.43148	1.43208	1.43164	1.43195	1.43135	1.43193
2016/12/02 14:45:00	1.43130	1.43205	1.43125	1.43178	1.43123	1.43193	1.43112	1.43164
2016/12/02 14:30:00	1.43153	1.43196	1.43109	1.43130	1.43146	1.43189	1.43103	1.43123
2016/12/02 14:15:00	1.43149	1.43186	1.43137	1.43153	1.43140	1.43175	1.43128	1.43146
2016/12/02 14:00:00	1.43093	1.43171	1.43093	1.43149	1.43081	1.43165	1.43081	1.43140
2016/12/02 13:45:00	1.43069	1.43120	1.43022	1.43093	1.43057	1.43112	1.43012	1.43081
2016/12/02 13:30:00	1.43198	1.43207	1.43048	1.43069	1.43188	1.43197	1.43038	1.43057
2016/12/02 13:15:00	1.43179	1.43211	1.43149	1.43198	1.43170	1.43203	1.43138	1.43188
2016/12/02 13:00:00	1.43253	1.43267	1.43158	1.43179	1.43243	1.43257	1.43152	1.43170
2016/12/02 12:45:00	1.43239	1.43292	1.43183	1.43253	1.43229	1.43285	1.43174	1.43243
2016/12/02 12:30:00	1.43243	1.43263	1.43193	1.43239	1.43236	1.43256	1.43183	1.43229
2016/12/02 12:15:00	1.43242	1.43256	1.43198	1.43243	1.43229	1.43248	1.43188	1.43236
2016/12/02 12:00:00	1.43302	1.43321	1.43189	1.43242	1.43293	1.43309	1.43180	1.43229
2016/12/02 11:45:00	1.43295	1.43324	1.43224	1.43302	1.43288	1.43315	1.43217	1.43293
2016/12/02 11:30:00	1.43347	1.43439	1.43281	1.43295	1.43337	1.43432	1.43274	1.43288
2016/12/02 11:15:00	1.43310	1.43388	1.43285	1.43347	1.43300	1.43382	1.43276	1.43337
2016/12/02 11:00:00	1.43167	1.43310	1.43129	1.43310	1.43159	1.43300	1.43117	1.43300
2016/12/02 10:45:00	1.43059	1.43167	1.43035	1.43167	1.43049	1.43159	1.43026	1.43159
2016/12/02 10:30:00	1.43054	1.43071	1.42983	1.43059	1.43045	1.43069	1.42976	1.43049
2016/12/02 10:15:00	1.42933	1.43072	1.42925	1.43054	1.42927	1.43068	1.42923	1.43045
2016/12/02 10:00:00	1.42927	1.42946	1.42712	1.42933	1.42918	1.42942	1.42710	1.42927
2016/12/02 09:45:00	1.43133	1.43154	1.42925	1.42927	1.43123	1.43145	1.42917	1.42918
2016/12/02 09:30:00	1.43076	1.43136	1.42907	1.43133	1.43067	1.43127	1.42897	1.43123
2016/12/02 09:15:00	1.43212	1.43271	1.43051	1.43076	1.43206	1.43266	1.43044	1.43067
2016/12/02 09:00:00	1.43217	1.43330	1.43144	1.43212	1.43210	1.43320	1.43137	1.43206
2016/12/02 08:45:00	1.43367	1.43489	1.43206	1.43217	1.43356	1.43479	1.43197	1.43210
2016/12/02 08:30:00	1.43484	1.43626	1.43266	1.43367	1.43409	1.43485	1.43254	1.43356
2016/12/02 08:15:00	1.43333	1.43559	1.43333	1.43484	1.43325	1.43546	1.43325	1.43409
2016/12/02 08:00:00	1.43297	1.43422	1.43252	1.43333	1.43289	1.43413	1.43246	1.43325
2016/12/02 07:45:00	1.43445	1.43455	1.43282	1.43297	1.43436	1.43447	1.43273	1.43289
2016/12/02 07:30:00	1.43529	1.43591	1.43443	1.43445	1.43521	1.43582	1.43434	1.43436
2016/12/02 07:15:00	1.43499	1.43531	1.43443	1.43529	1.43490	1.43522	1.43436	1.43521
2016/12/02 07:00:00	1.43508	1.43565	1.43440	1.43499	1.43502	1.43558	1.43433	1.43490
2016/12/02 06:45:00	1.43470	1.43558	1.43462	1.43508	1.43463	1.43555	1.43456	1.43502
2016/12/02 06:30:00	1.43486	1.43516	1.43449	1.43470	1.43479	1.43509	1.43447	1.43463
2016/12/02 06:15:00	1.43450	1.43512	1.43415	1.43486	1.43441	1.43505	1.43406	1.43479
2016/12/02 06:00:00	1.43492	1.43551	1.43432	1.43450	1.43487	1.43547	1.43421	1.43441
2016/12/02 05:45:00	1.43433	1.43508	1.43361	1.43492	1.43426	1.43504	1.43354	1.43487
2016/12/02 05:30:00	1.43410	1.43469	1.43408	1.43433	1.43402	1.43466	1.43401	1.43426
2016/12/02 05:15:00	1.43382	1.43410	1.43324	1.43410	1.43376	1.43402	1.43317	1.43402
2016/12/02 05:00:00	1.43379	1.43431	1.43310	1.43382	1.43369	1.43425	1.43305	1.43376
2016/12/02 04:45:00	1.43491	1.43498	1.43324	1.43379	1.43485	1.43491	1.43320	1.43369
2016/12/02 04:30:00	1.43667	1.43667	1.43453	1.43491	1.43656	1.43660	1.43449	1.43485
2016/12/02 04:15:00	1.43711	1.43712	1.43583	1.43667	1.43703	1.43708	1.43575	1.43656
2016/12/02 04:00:00	1.43615	1.43777	1.43595	1.43711	1.43601	1.43774	1.43588	1.43703
2016/12/02 03:45:00	1.43650	1.43662	1.43510	1.43615	1.43647	1.43658	1.43504	1.43601
