日時	"EUR/CZK(始値, 買い)"	"EUR/CZK(高値, 買い)"	"EUR/CZK(安値, 買い)"	"EUR/CZK(終値, 買い)"	"EUR/CZK(始値, 売り)*"	"EUR/CZK(高値, 売り)*"	"EUR/CZK(安値, 売り)*"	"EUR/CZK(終値, 売り)*"
2016/11/21 22:45:00	27.0325	27.0326	27.0324	27.0325	27.0185	27.0186	27.0184	27.0185
2016/11/21 22:30:00	27.0324	27.0326	27.0324	27.0325	27.0184	27.0186	27.0184	27.0185
2016/11/21 22:15:00	27.0325	27.0327	27.0324	27.0324	27.0185	27.0187	27.0184	27.0184
2016/11/21 22:00:00	27.0324	27.0326	27.0324	27.0325	27.0184	27.0186	27.0184	27.0185
2016/11/21 21:45:00	27.0326	27.0326	27.0324	27.0324	27.0186	27.0186	27.0184	27.0184
2016/11/21 21:30:00	27.0324	27.0326	27.0324	27.0326	27.0184	27.0186	27.0184	27.0186
2016/11/21 21:15:00	27.0325	27.0326	27.0324	27.0324	27.0185	27.0186	27.0184	27.0184
2016/11/21 21:00:00	27.0325	27.0326	27.0324	27.0325	27.0185	27.0186	27.0184	27.0185
2016/11/21 20:45:00	27.0325	27.0327	27.0323	27.0325	27.0185	27.0187	27.0183	27.0185
2016/11/21 20:30:00	27.0325	27.0327	27.0324	27.0325	27.0185	27.0187	27.0184	27.0185
2016/11/21 20:15:00	27.0325	27.0327	27.0323	27.0325	27.0185	27.0187	27.0183	27.0185
2016/11/21 20:00:00	27.0325	27.0327	27.0323	27.0325	27.0185	27.0187	27.0183	27.0185
2016/11/21 19:45:00	27.0327	27.0327	27.0324	27.0325	27.0187	27.0187	27.0184	27.0185
2016/11/21 19:30:00	27.0326	27.0327	27.0324	27.0327	27.0186	27.0187	27.0184	27.0187
2016/11/21 19:15:00	27.0336	27.0371	27.0280	27.0326	27.0196	27.0250	27.0161	27.0186
2016/11/21 19:00:00	27.0370	27.0370	27.0334	27.0336	27.0160	27.0198	27.0160	27.0196
2016/11/21 18:45:00	27.0336	27.0370	27.0335	27.0370	27.0196	27.0196	27.0160	27.0160
2016/11/21 18:30:00	27.0337	27.0337	27.0334	27.0336	27.0197	27.0197	27.0194	27.0196
2016/11/21 18:15:00	27.0370	27.0372	27.0337	27.0337	27.0160	27.0197	27.0160	27.0197
2016/11/21 18:00:00	27.0344	27.0372	27.0300	27.0370	27.0188	27.0250	27.0158	27.0160
2016/11/21 17:45:00	27.0368	27.0371	27.0342	27.0344	27.0160	27.0189	27.0158	27.0188
2016/11/21 17:30:00	27.0396	27.0396	27.0368	27.0368	27.0136	27.0163	27.0134	27.0160
2016/11/21 17:15:00	27.0368	27.0397	27.0368	27.0396	27.0160	27.0161	27.0133	27.0136
2016/11/21 17:00:00	27.0360	27.0384	27.0290	27.0368	27.0240	27.0240	27.0146	27.0160
2016/11/21 16:45:00	27.0314	27.0360	27.0310	27.0360	27.0226	27.0240	27.0213	27.0240
2016/11/21 16:30:00	27.0313	27.0315	27.0312	27.0314	27.0226	27.0226	27.0209	27.0226
2016/11/21 16:15:00	27.0312	27.0320	27.0310	27.0313	27.0226	27.0226	27.0211	27.0226
2016/11/21 16:00:00	27.0287	27.0312	27.0286	27.0312	27.0230	27.0240	27.0186	27.0226
2016/11/21 15:45:00	27.0312	27.0314	27.0280	27.0287	27.0218	27.0230	27.0208	27.0230
2016/11/21 15:30:00	27.0313	27.0313	27.0304	27.0312	27.0218	27.0218	27.0218	27.0218
2016/11/21 15:15:00	27.0317	27.0317	27.0310	27.0313	27.0218	27.0240	27.0218	27.0218
2016/11/21 15:00:00	27.0305	27.0318	27.0305	27.0317	27.0230	27.0231	27.0218	27.0218
2016/11/21 14:45:00	27.0286	27.0316	27.0286	27.0305	27.0240	27.0242	27.0230	27.0230
2016/11/21 14:30:00	27.0317	27.0317	27.0286	27.0286	27.0242	27.0242	27.0240	27.0240
2016/11/21 14:15:00	27.0310	27.0317	27.0310	27.0317	27.0260	27.0260	27.0240	27.0242
2016/11/21 14:00:00	27.0307	27.0310	27.0305	27.0310	27.0232	27.0260	27.0230	27.0260
2016/11/21 13:45:00	27.0302	27.0308	27.0302	27.0307	27.0250	27.0250	27.0231	27.0232
2016/11/21 13:30:00	27.0320	27.0336	27.0302	27.0302	27.0280	27.0290	27.0237	27.0250
2016/11/21 13:15:00	27.0320	27.0342	27.0320	27.0320	27.0280	27.0290	27.0260	27.0280
2016/11/21 13:00:00	27.0361	27.0369	27.0320	27.0320	27.0286	27.0294	27.0260	27.0280
2016/11/21 12:45:00	27.0362	27.0363	27.0361	27.0361	27.0287	27.0288	27.0286	27.0286
2016/11/21 12:30:00	27.0362	27.0363	27.0349	27.0362	27.0287	27.0300	27.0282	27.0287
2016/11/21 12:15:00	27.0353	27.0363	27.0339	27.0362	27.0278	27.0300	27.0264	27.0287
2016/11/21 12:00:00	27.0359	27.0371	27.0352	27.0353	27.0309	27.0309	27.0277	27.0278
2016/11/21 11:45:00	27.0367	27.0373	27.0351	27.0359	27.0317	27.0323	27.0301	27.0309
2016/11/21 11:30:00	27.0395	27.0400	27.0340	27.0367	27.0345	27.0351	27.0305	27.0317
2016/11/21 11:15:00	27.0400	27.0408	27.0392	27.0395	27.0360	27.0370	27.0342	27.0345
2016/11/21 11:00:00	27.0469	27.0476	27.0399	27.0400	27.0419	27.0426	27.0360	27.0360
2016/11/21 10:45:00	27.0474	27.0494	27.0462	27.0469	27.0424	27.0444	27.0412	27.0419
2016/11/21 10:30:00	27.0543	27.0562	27.0446	27.0474	27.0493	27.0512	27.0400	27.0424
2016/11/21 10:15:00	27.0585	27.0610	27.0543	27.0543	27.0535	27.0562	27.0493	27.0493
2016/11/21 10:00:00	27.0581	27.0592	27.0574	27.0585	27.0532	27.0542	27.0524	27.0535
2016/11/21 09:45:00	27.0615	27.0616	27.0560	27.0581	27.0583	27.0590	27.0520	27.0532
2016/11/21 09:30:00	27.0490	27.0644	27.0490	27.0615	27.0440	27.0600	27.0440	27.0583
2016/11/21 09:15:00	27.0500	27.0540	27.0441	27.0490	27.0450	27.0504	27.0391	27.0440
2016/11/21 09:00:00	27.0410	27.0505	27.0400	27.0500	27.0368	27.0458	27.0357	27.0450
2016/11/21 08:45:00	27.0381	27.0410	27.0371	27.0410	27.0331	27.0373	27.0321	27.0368
2016/11/21 08:30:00	27.0405	27.0410	27.0361	27.0381	27.0350	27.0364	27.0318	27.0331
2016/11/21 08:15:00	27.0335	27.0405	27.0333	27.0405	27.0285	27.0352	27.0283	27.0350
2016/11/21 08:00:00	27.0359	27.0359	27.0333	27.0335	27.0309	27.0309	27.0283	27.0285
2016/11/21 07:45:00	27.0395	27.0398	27.0347	27.0359	27.0345	27.0350	27.0297	27.0309
2016/11/21 07:30:00	27.0360	27.0401	27.0360	27.0395	27.0310	27.0355	27.0310	27.0345
2016/11/21 07:15:00	27.0368	27.0368	27.0349	27.0360	27.0318	27.0318	27.0301	27.0310
2016/11/21 07:00:00	27.0387	27.0387	27.0340	27.0368	27.0333	27.0335	27.0300	27.0318
2016/11/21 06:45:00	27.0385	27.0389	27.0330	27.0387	27.0331	27.0335	27.0300	27.0333
2016/11/21 06:30:00	27.0363	27.0436	27.0346	27.0385	27.0309	27.0380	27.0296	27.0331
2016/11/21 06:15:00	27.0365	27.0370	27.0314	27.0363	27.0320	27.0320	27.0265	27.0309
2016/11/21 06:00:00	27.0380	27.0383	27.0350	27.0365	27.0340	27.0340	27.0310	27.0320
2016/11/21 05:45:00	27.0376	27.0381	27.0372	27.0380	27.0322	27.0340	27.0318	27.0340
2016/11/21 05:30:00	27.0419	27.0423	27.0357	27.0376	27.0370	27.0380	27.0310	27.0322
2016/11/21 05:15:00	27.0549	27.0549	27.0419	27.0419	27.0516	27.0516	27.0370	27.0370
2016/11/21 05:00:00	27.0680	27.0680	27.0542	27.0549	27.0666	27.0666	27.0500	27.0516
2016/11/21 04:45:00	27.0730	27.0770	27.0680	27.0680	27.0666	27.0746	27.0630	27.0666
2016/11/21 04:30:00	27.0429	27.0740	27.0410	27.0730	27.0375	27.0701	27.0368	27.0666
2016/11/21 04:15:00	27.0396	27.0434	27.0375	27.0429	27.0342	27.0380	27.0330	27.0375
2016/11/21 04:00:00	27.0407	27.0411	27.0387	27.0396	27.0335	27.0362	27.0329	27.0342
2016/11/21 03:45:00	27.0400	27.0410	27.0398	27.0407	27.0340	27.0340	27.0326	27.0335
2016/11/21 03:30:00	27.0394	27.0416	27.0394	27.0400	27.0330	27.0350	27.0330	27.0340
2016/11/21 03:15:00	27.0383	27.0405	27.0379	27.0394	27.0311	27.0335	27.0307	27.0330
2016/11/21 03:00:00	27.0374	27.0387	27.0370	27.0383	27.0305	27.0320	27.0305	27.0311
2016/11/21 02:45:00	27.0380	27.0390	27.0373	27.0374	27.0310	27.0318	27.0305	27.0305
2016/11/21 02:30:00	27.0370	27.0390	27.0360	27.0380	27.0304	27.0340	27.0297	27.0310
2016/11/21 02:15:00	27.0365	27.0375	27.0319	27.0370	27.0293	27.0310	27.0250	27.0304
2016/11/21 02:00:00	27.0400	27.0400	27.0339	27.0365	27.0290	27.0321	27.0267	27.0293
2016/11/21 01:45:00	27.0410	27.0412	27.0398	27.0400	27.0290	27.0330	27.0289	27.0290
2016/11/21 01:30:00	27.0385	27.0411	27.0375	27.0410	27.0245	27.0300	27.0245	27.0290
2016/11/21 01:15:00	27.0389	27.0391	27.0360	27.0385	27.0249	27.0260	27.0240	27.0245
2016/11/21 01:00:00	27.0424	27.0424	27.0360	27.0389	27.0226	27.0300	27.0226	27.0249
2016/11/21 00:45:00	27.0400	27.0424	27.0350	27.0424	27.0250	27.0250	27.0226	27.0226
2016/11/21 00:30:00	27.0400	27.0424	27.0350	27.0400	27.0250	27.0300	27.0226	27.0250
2016/11/21 00:15:00	27.0454	27.0454	27.0370	27.0400	27.0256	27.0340	27.0250	27.0250
2016/11/20 23:45:00	27.0380	27.0459	27.0380	27.0454	27.0340	27.0340	27.0256	27.0256
2016/11/20 23:30:00	27.0463	27.0467	27.0380	27.0380	27.0271	27.0350	27.0271	27.0340
2016/11/20 23:15:00	27.0469	27.0469	27.0390	27.0463	27.0271	27.0340	27.0271	27.0271
2016/11/20 23:00:00	27.0432	27.0469	27.0370	27.0469	27.0236	27.0360	27.0236	27.0271
2016/11/20 22:45:00	27.0370	27.0434	27.0370	27.0432	27.0300	27.0300	27.0236	27.0236
2016/11/20 22:30:00	27.0427	27.0430	27.0370	27.0370	27.0236	27.0300	27.0236	27.0300
2016/11/20 22:15:00	27.0428	27.0429	27.0426	27.0427	27.0236	27.0236	27.0236	27.0236
2016/11/20 22:00:00	27.0427	27.0429	27.0426	27.0428	27.0236	27.0236	27.0236	27.0236
2016/11/20 21:45:00	27.0427	27.0428	27.0417	27.0427	27.0236	27.0236	27.0236	27.0236
2016/11/20 21:30:00	27.0427	27.0429	27.0427	27.0427	27.0236	27.0236	27.0236	27.0236
2016/11/20 21:15:00	27.0428	27.0429	27.0426	27.0427	27.0236	27.0236	27.0236	27.0236
