日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/09/01 10:30:00	3.31736	3.31881	3.31580	3.31728	3.31610	3.31755	3.31448	3.31589
2016/09/01 10:15:00	3.31208	3.31841	3.31150	3.31736	3.31082	3.31700	3.31010	3.31610
2016/09/01 10:00:00	3.31041	3.31723	3.30819	3.31208	3.30820	3.31200	3.30503	3.31082
2016/09/01 09:45:00	3.30598	3.31097	3.30570	3.31041	3.30500	3.30995	3.30482	3.30820
2016/09/01 09:30:00	3.30843	3.30845	3.30507	3.30598	3.30768	3.30768	3.30420	3.30500
2016/09/01 09:15:00	3.30615	3.30872	3.30586	3.30843	3.30507	3.30791	3.30487	3.30768
2016/09/01 09:00:00	3.30413	3.30655	3.30400	3.30615	3.30305	3.30566	3.30292	3.30507
2016/09/01 08:45:00	3.30293	3.30418	3.30190	3.30413	3.30171	3.30320	3.30101	3.30305
2016/09/01 08:30:00	3.30530	3.30580	3.30238	3.30293	3.30176	3.30350	3.30095	3.30171
2016/09/01 08:15:00	3.30398	3.30559	3.30197	3.30530	3.30296	3.30332	3.30102	3.30176
2016/09/01 08:00:00	3.30540	3.30559	3.30287	3.30398	3.30440	3.30464	3.30191	3.30296
2016/09/01 07:45:00	3.30449	3.30568	3.30420	3.30540	3.30366	3.30484	3.30322	3.30440
2016/09/01 07:30:00	3.30499	3.30500	3.30260	3.30449	3.30350	3.30400	3.30166	3.30366
2016/09/01 07:15:00	3.30300	3.30504	3.30226	3.30499	3.30199	3.30404	3.30126	3.30350
2016/09/01 07:00:00	3.30269	3.30374	3.30220	3.30300	3.30164	3.30280	3.30120	3.30199
2016/09/01 06:45:00	3.30169	3.30316	3.30152	3.30269	3.30065	3.30216	3.30060	3.30164
2016/09/01 06:30:00	3.30182	3.30212	3.30076	3.30169	3.30070	3.30100	3.29971	3.30065
2016/09/01 06:15:00	3.30083	3.30211	3.30004	3.30182	3.30001	3.30116	3.29918	3.30070
2016/09/01 06:00:00	3.29913	3.30159	3.29888	3.30083	3.29790	3.30060	3.29780	3.30001
2016/09/01 05:45:00	3.29934	3.29971	3.29821	3.29913	3.29810	3.29860	3.29697	3.29790
2016/09/01 05:30:00	3.29777	3.29976	3.29706	3.29934	3.29660	3.29860	3.29581	3.29810
2016/09/01 05:15:00	3.29719	3.29828	3.29476	3.29777	3.29614	3.29715	3.29367	3.29660
2016/09/01 05:00:00	3.29974	3.30028	3.29648	3.29719	3.29850	3.29920	3.29551	3.29614
2016/09/01 04:45:00	3.29630	3.30027	3.29630	3.29974	3.29520	3.29940	3.29508	3.29850
2016/09/01 04:30:00	3.29566	3.29774	3.29550	3.29630	3.29420	3.29680	3.29400	3.29520
2016/09/01 04:15:00	3.29621	3.29661	3.29521	3.29566	3.29506	3.29540	3.29400	3.29420
2016/09/01 04:00:00	3.29653	3.29702	3.29557	3.29621	3.29470	3.29606	3.29450	3.29506
2016/09/01 03:45:00	3.29630	3.29730	3.29351	3.29653	3.29480	3.29589	3.29260	3.29470
2016/09/01 03:30:00	3.29510	3.29656	3.29428	3.29630	3.29377	3.29560	3.29321	3.29480
2016/09/01 03:15:00	3.29640	3.29640	3.29447	3.29510	3.29470	3.29540	3.29344	3.29377
2016/09/01 03:00:00	3.30032	3.30042	3.29530	3.29640	3.29894	3.29903	3.29443	3.29470
2016/09/01 02:45:00	3.29889	3.30055	3.29799	3.30032	3.29772	3.29954	3.29670	3.29894
2016/09/01 02:30:00	3.29919	3.29932	3.29812	3.29889	3.29711	3.29846	3.29711	3.29772
2016/09/01 02:15:00	3.29940	3.30014	3.29858	3.29919	3.29761	3.29848	3.29679	3.29711
2016/09/01 02:00:00	3.30222	3.30222	3.29898	3.29940	3.29935	3.29974	3.29720	3.29761
2016/09/01 01:45:00	3.30261	3.30336	3.30010	3.30222	3.30076	3.30076	3.29777	3.29935
2016/09/01 01:30:00	3.30240	3.30309	3.30194	3.30261	3.29923	3.30076	3.29907	3.30076
2016/09/01 01:15:00	3.30316	3.30335	3.30178	3.30240	3.30014	3.30037	3.29888	3.29923
2016/09/01 01:00:00	3.30352	3.30378	3.30257	3.30316	3.30075	3.30117	3.29938	3.30014
2016/09/01 00:45:00	3.30352	3.30433	3.30332	3.30352	3.30020	3.30098	3.30020	3.30075
2016/09/01 00:30:00	3.30346	3.30416	3.30321	3.30352	3.30046	3.30117	3.30014	3.30020
2016/09/01 00:15:00	3.30380	3.30403	3.30321	3.30346	3.30121	3.30121	3.30010	3.30046
2016/09/01 00:00:00	3.30421	3.30474	3.30351	3.30380	3.30136	3.30242	3.30063	3.30121
2016/08/31 23:45:00	3.30462	3.30462	3.30380	3.30421	3.30174	3.30174	3.30095	3.30136
2016/08/31 23:30:00	3.30454	3.30487	3.30436	3.30462	3.30183	3.30199	3.30130	3.30174
2016/08/31 23:15:00	3.30459	3.30499	3.30397	3.30454	3.30151	3.30209	3.30108	3.30183
2016/08/31 23:00:00	3.30413	3.30606	3.30413	3.30459	3.30111	3.30304	3.30097	3.30151
2016/08/31 22:45:00	3.30516	3.30518	3.30355	3.30413	3.30212	3.30219	3.30086	3.30111
2016/08/31 22:30:00	3.30553	3.30572	3.30459	3.30516	3.30295	3.30299	3.30157	3.30212
2016/08/31 22:15:00	3.30587	3.30717	3.30553	3.30553	3.30329	3.30401	3.30159	3.30295
2016/08/31 22:00:00	3.30568	3.30609	3.30471	3.30587	3.30165	3.30361	3.30034	3.30329
2016/08/31 21:45:00	3.30562	3.30706	3.30485	3.30568	3.30085	3.30290	3.30051	3.30165
2016/08/31 21:30:00	3.30575	3.30579	3.30437	3.30562	3.30128	3.30128	3.29941	3.30085
2016/08/31 21:15:00	3.30380	3.30600	3.30358	3.30575	3.30109	3.30148	3.29968	3.30128
