日時	"USD/CZK(始値, 買い)"	"USD/CZK(高値, 買い)"	"USD/CZK(安値, 買い)"	"USD/CZK(終値, 買い)"	"USD/CZK(始値, 売り)*"	"USD/CZK(高値, 売り)*"	"USD/CZK(安値, 売り)*"	"USD/CZK(終値, 売り)*"
2016/07/20 02:15:00	24.5302	24.5437	24.5237	24.5241	24.5236	24.5371	24.5171	24.5175
2016/07/20 02:00:00	24.5295	24.5380	24.5275	24.5302	24.5194	24.5314	24.5194	24.5236
2016/07/20 01:45:00	24.5324	24.5330	24.5231	24.5295	24.5223	24.5228	24.5129	24.5194
2016/07/20 01:30:00	24.5425	24.5590	24.5308	24.5324	24.5310	24.5381	24.5180	24.5223
2016/07/20 01:15:00	24.5397	24.5493	24.5376	24.5425	24.5282	24.5378	24.5261	24.5310
2016/07/20 01:00:00	24.5354	24.5400	24.5329	24.5397	24.5239	24.5284	24.5214	24.5282
2016/07/20 00:45:00	24.5416	24.5417	24.5351	24.5354	24.5301	24.5302	24.5236	24.5239
2016/07/20 00:30:00	24.5507	24.5507	24.5381	24.5416	24.5193	24.5312	24.5193	24.5301
2016/07/20 00:15:00	24.5373	24.5507	24.5354	24.5507	24.5258	24.5283	24.5193	24.5193
2016/07/20 00:00:00	24.5447	24.5456	24.5363	24.5373	24.5331	24.5340	24.5248	24.5258
2016/07/19 23:45:00	24.5445	24.5477	24.5431	24.5447	24.5330	24.5361	24.5316	24.5331
2016/07/19 23:30:00	24.5419	24.5474	24.5418	24.5445	24.5303	24.5359	24.5303	24.5330
2016/07/19 23:15:00	24.5413	24.5447	24.5373	24.5419	24.5298	24.5331	24.5258	24.5303
2016/07/19 23:00:00	24.5606	24.5606	24.5399	24.5413	24.5491	24.5491	24.5284	24.5298
2016/07/19 22:45:00	24.5607	24.5759	24.5565	24.5606	24.5491	24.5643	24.5450	24.5491
2016/07/19 22:30:00	24.5592	24.5670	24.5543	24.5607	24.5476	24.5555	24.5427	24.5491
2016/07/19 22:15:00	24.5457	24.5592	24.5457	24.5592	24.5341	24.5476	24.5341	24.5476
2016/07/19 22:00:00	24.5376	24.5457	24.5373	24.5457	24.5260	24.5341	24.5258	24.5341
2016/07/19 21:45:00	24.5498	24.5545	24.5376	24.5376	24.5383	24.5430	24.5260	24.5260
2016/07/19 21:30:00	24.5608	24.5631	24.5480	24.5498	24.5493	24.5505	24.5365	24.5383
2016/07/19 21:15:00	24.5502	24.5608	24.5469	24.5608	24.5367	24.5493	24.5343	24.5493
2016/07/19 21:00:00	24.5391	24.5546	24.5368	24.5502	24.5276	24.5431	24.5253	24.5367
2016/07/19 20:45:00	24.5344	24.5407	24.5292	24.5391	24.5228	24.5292	24.5177	24.5276
2016/07/19 20:30:00	24.5298	24.5363	24.5295	24.5344	24.5182	24.5248	24.5180	24.5228
2016/07/19 20:15:00	24.5302	24.5307	24.5250	24.5298	24.5156	24.5189	24.5131	24.5182
2016/07/19 20:00:00	24.5430	24.5472	24.5302	24.5302	24.5266	24.5326	24.5156	24.5156
2016/07/19 19:45:00	24.5423	24.5456	24.5402	24.5430	24.5273	24.5310	24.5252	24.5266
2016/07/19 19:30:00	24.5344	24.5427	24.5328	24.5423	24.5194	24.5277	24.5178	24.5273
2016/07/19 19:15:00	24.5332	24.5361	24.5324	24.5344	24.5153	24.5195	24.5148	24.5194
2016/07/19 19:00:00	24.5340	24.5344	24.5309	24.5332	24.5161	24.5166	24.5130	24.5153
2016/07/19 18:45:00	24.5329	24.5355	24.5324	24.5340	24.5150	24.5177	24.5146	24.5161
2016/07/19 18:30:00	24.5318	24.5350	24.5314	24.5329	24.5136	24.5171	24.5131	24.5150
2016/07/19 18:15:00	24.5297	24.5320	24.5262	24.5318	24.5115	24.5138	24.5079	24.5136
2016/07/19 18:00:00	24.5365	24.5390	24.5275	24.5297	24.5130	24.5197	24.5093	24.5115
2016/07/19 17:45:00	24.5368	24.5393	24.5286	24.5365	24.5155	24.5179	24.5091	24.5130
2016/07/19 17:30:00	24.5350	24.5387	24.5344	24.5368	24.5137	24.5174	24.5130	24.5155
2016/07/19 17:15:00	24.5375	24.5375	24.5256	24.5350	24.5103	24.5137	24.5043	24.5137
2016/07/19 17:00:00	24.5270	24.5580	24.5270	24.5375	24.5080	24.5110	24.4830	24.5103
2016/07/19 16:45:00	24.5222	24.5307	24.5222	24.5270	24.5076	24.5161	24.5050	24.5080
2016/07/19 16:30:00	24.5276	24.5282	24.5222	24.5222	24.5146	24.5146	24.5076	24.5076
2016/07/19 16:15:00	24.5272	24.5300	24.5272	24.5276	24.5146	24.5174	24.5144	24.5146
2016/07/19 16:00:00	24.5260	24.5339	24.5247	24.5272	24.5154	24.5233	24.5141	24.5146
2016/07/19 15:45:00	24.5309	24.5333	24.5235	24.5260	24.5211	24.5233	24.5134	24.5154
2016/07/19 15:30:00	24.5290	24.5339	24.5284	24.5309	24.5190	24.5240	24.5185	24.5211
2016/07/19 15:15:00	24.5343	24.5343	24.5290	24.5290	24.5244	24.5244	24.5190	24.5190
2016/07/19 15:00:00	24.5351	24.5390	24.5342	24.5343	24.5251	24.5290	24.5242	24.5244
